0,1,2,3,4,5,6,7,8,9
"('31 <= 0.00', 0.024700184521385633)","('3 <= 0.00', 0.01973354373363836)","('0 <= 0.00', -0.01824284870258004)","('4 <= 0.00', 0.018192784628523796)","('59 <= 0.00', 0.01743279569863764)","('32 <= 0.00', -0.01618823011312507)","('35 <= 0.00', 0.01580600574856873)","('27 <= 0.00', 0.01402740343514043)","('17 <= 0.00', 0.01394620543509344)","('28 <= 0.00', -0.011870382854151318)"
"('0.00 < 89 <= 80.75', 0.021361358467563814)","('6 <= 0.00', 0.020889899204394942)","('44 <= 0.00', -0.019958792650101635)","('47 <= 0.00', 0.018473555211150502)","('14 <= 0.00', -0.01846901332997536)","('69 <= 0.00', 0.01804892968430543)","('28 <= 0.00', -0.0165716669729878)","('13 <= 0.00', 0.016123316796855393)","('63 <= 0.00', 0.015680530909783157)","('5 <= 0.00', 0.015481786440550522)"
"('21 <= 0.00', 0.025868256491156247)","('19 <= 0.00', 0.01812220148993865)","('99 <= 50.50', 0.018028820384071616)","('27 <= 0.00', 0.01797980371520768)","('31 <= 0.00', 0.017809634752691587)","('47 <= 0.00', 0.0171468005143512)","('33 <= 0.00', 0.016958870315881922)","('67 <= 0.00', -0.015029575203501464)","('22 <= 0.00', 0.014972462627774585)","('20 <= 0.00', 0.01451494172041279)"
"('13 <= 0.00', 0.025923787800583572)","('19 <= 0.00', 0.024679770714381034)","('4 <= 0.00', 0.020907628507293816)","('2 <= 0.00', 0.020461788370400514)","('27 <= 0.00', 0.020278530925570314)","('42 <= 0.00', 0.018452285709940036)","('32 <= 0.00', -0.016702761702282805)","('0 <= 0.00', -0.01569164464960721)","('39 <= 0.00', 0.015385642235236188)","('44 <= 0.00', 0.01409436947906565)"
"('10 <= 0.00', 0.026430237675420704)","('24 <= 0.00', 0.01825215726696994)","('15 <= 0.00', -0.01672052459060878)","('97 <= 33.50', 0.016328847247517264)","('34 <= 0.00', -0.014291228626870753)","('28 <= 0.00', -0.014249521679098955)","('25 <= 0.00', 0.013167258822691286)","('45 <= 0.00', -0.012179634200502857)","('40 <= 0.00', -0.011817593212519082)","('41 <= 0.00', 0.011309879598186669)"
"('14 <= 0.00', -0.0264453081702852)","('47 <= 0.00', 0.02631875638267566)","('33 <= 0.00', 0.023087478809962873)","('58 <= 0.00', 0.022599559555073655)","('22 <= 0.00', 0.022199970468354112)","('18 <= 0.00', -0.017606520305966433)","('11 <= 0.00', 0.015527323261128505)","('40 <= 0.00', 0.014450655333884415)","('12 <= 0.00', 0.01443068943686425)","('32 <= 0.00', 0.01287523121222582)"
"('7 <= 0.00', -0.02318312544425576)","('33 <= 0.00', 0.021016583014895365)","('3 <= 0.00', -0.018002663446336685)","('9 <= 0.00', 0.01737915939149654)","('32 <= 0.00', -0.01569566385978387)","('11 <= 0.00', 0.013764291112852291)","('18 <= 0.00', -0.013299395015562552)","('0.00 < 93 <= 16.00', 0.012873998317799788)","('29 <= 0.00', 0.012510383863775015)","('51 <= 0.00', -0.011466859608125978)"
"('7 > 0.00', -0.026073237816009752)","('4 > 0.00', -0.0238843239197542)","('18 > 0.00', 0.023431367842125305)","('19 > 0.00', -0.01848672057844009)","('42 > 0.00', 0.018331451493029807)","('24 > 0.00', -0.018314888765201712)","('21 > 0.00', -0.017763861112128597)","('22 > 0.00', -0.01629324264531182)","('23 > 0.00', -0.01335621575282556)","('5 > 0.00', 0.01263452567145382)"
"('12 <= 0.00', 0.0323492881454442)","('14 <= 0.00', -0.022680697183634416)","('8 <= 0.00', 0.022580588237813864)","('15 <= 0.00', -0.020682172051530345)","('10 <= 0.00', 0.020049256847475782)","('49 <= 0.00', -0.01946803692050627)","('29 <= 0.00', 0.0191059517191943)","('18 <= 0.00', 0.017889777287569)","('6 <= 0.00', -0.016910776241389487)","('7 <= 0.00', -0.016600754546324245)"
"('66 <= 0.00', 0.018782208535906442)","('8 <= 0.00', 0.01644178476186938)","('3 <= 0.00', -0.015347922672197985)","('17 <= 0.00', 0.015073784516446653)","('59 <= 0.00', 0.01414212865586822)","('52 <= 0.00', 0.013105278323752297)","('45 <= 0.00', 0.012633005188077607)","('20 <= 0.00', -0.012614282115222012)","('46 <= 0.00', -0.0126081567363289)","('9 <= 0.00', 0.011349067944591512)"
